
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:02 UTC 2017
Data Source: https://onionoo.torproject.org

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          CONSENSUS_WEIGHT_FRAC
A1 Telekom Austria AG (5)                                0.0%
TeNeT Scientific Production Enterprise LLC (2)           0.0%
WebJanssen ISP ltd & Co KG (1)                           0.0%
Digital Energy Technologies Limited (3)                  0.0%
1984 ehf (4)                                             0.0%
Beanfield Technologies Inc. (1)                          0.0%
Optima Telecom Ltd. (3)                                  0.0%
Vakka-Suomen Puhelin Oy (1)                              0.0%
SupraNet Communications, Inc. (1)                        0.0%
TOV Lekol (1)                                            0.0%
Stiftelsen Chalmers Studenthem (1)                       0.0%
TOV Global-NET (1)                                       0.0%
Information Network, LLC (1)                             0.0%
Atlantic.net, Inc. (1)                                   0.0%
BrainStorm Network, Inc (2)                              0.0%
HostMySite (1)                                           0.0%
Starman AS (1)                                           0.0%
Digit One LLC (1)                                        0.0%
sdt.net AG (1)                                           0.0%
Science Production Company Trifle Ltd. (1)               0.0%
P.a.k.t LLC (1)                                          0.0%
G-Core Labs S.A. (1)                                     0.0%
Primus Telecommunications Canada Inc. (1)                0.0%
Pp Sks-lugan (1)                                         0.0%
Start Communications (1)                                 0.0%
Maginfo JSC (1)                                          0.0%
University of Pennsylvania (1)                           0.0%
National Computer Systems Co Ltd (2)                     0.0%
Lancom Ltd. (2)                                          0.0%
Tele Columbus AG (5)                                     0.0%
Leitwerk Ag (1)                                          0.0%
Omnis Network, LLC (1)                                   0.0%
Orange Espagne SA (6)                                    0.0%
Technische Universiteit Eindhoven (TU/e) (1)             0.0%
Datapark AG (1)                                          0.0%
European Backbone Networks Inc. (1)                      0.0%
It_services (1)                                          0.0%
AVK-Wellcom Ltd. (1)                                     0.0%
Tieteen tietotekniikan keskus Oy (1)                     0.0%
Grupo Panaglobal 15 S.A (1)                              0.0%
HopOne Internet Corporation (2)                          0.0%
Domain names registrar REG.RU, Ltd (2)                   0.0%
WIBO International s.r.o. (1)                            0.0%
Novus Entertainment Inc. (2)                             0.0%
Vivacom (2)                                              0.0%
Allnet Telecom Srl (1)                                   0.0%
Wi-Manx Limited (1)                                      0.0%
CDLAN s.r.l. (1)                                         0.0%
CPS (1)                                                  0.0%
Technische Universitat Wien (1)                          0.0%
TELEFÔNICA BRASIL S.A (8)                               0.0%
Klimenko Anna.Aleksandrovna PE (1)                       0.0%
combahton IT Services (1)                                0.0%
Vivint Wireless, Inc. (1)                                0.0%
Wind Telecomunicazioni SpA (5)                           0.0%
Viettel Corporation (4)                                  0.0%
[netzquadrat] GmbH (1)                                   0.0%
Euronet Communications B.V. (1)                          0.0%
IT Expert LLC (2)                                        0.0%
Fork Networking, LLC (1)                                 0.0%
Filoo GmbH (1)                                           0.0%
Association GRIFON (1)                                   0.0%
CJSC Ural WES (2)                                        0.0%
ViaWest (1)                                              0.0%
GENERAL COMMUNICATION, INC. (2)                          0.0%
MegaStyle-Service (1)                                    0.0%
Orange Slovensko a.s. (1)                                0.0%
CloudVPS B.V. (3)                                        0.0%
Radio Muzyka Fakty Sp. z o.o. (1)                        0.0%
RETN Limited (1)                                         0.0%
Euskaltel S.A. (2)                                       0.0%
Clouvider Limited (1)                                    0.0%
Yahoo Japan Corporation (1)                              0.0%
Applied Operations, LLC (1)                              0.0%
Audeo, Inc (1)                                           0.0%
SK Broadband Co Ltd (2)                                  0.0%
Sc Ad Net Market Media Srl (1)                           0.0%
Virtono Networks SRL (1)                                 0.0%
Contell LLC (1)                                          0.0%
MM ONE Group Srl (1)                                     0.0%
Mythic Beasts Ltd (1)                                    0.0%
media:Webline AG (1)                                     0.0%
Spark New Zealand Trading Ltd. (5)                       0.0%
MYREPUBLIC LIMITED (2)                                   0.0%
rh-tec Business GmbH (5)                                 0.0%
Andrews & Arnold Ltd (1)                                 0.0%
TELUS Communications Inc. (4)                            0.0%
ServerSpace Limited (2)                                  0.0%
Equinix Asia Pacific (5)                                 0.0%
Arcade Solutions AG (1)                                  0.0%
EE Limited (3)                                           0.0%
InterBS S.R.L. (BAEHOST) (7)                             0.0%
Hutchison Global Communications (3)                      0.0%
Hosting.de GmbH (1)                                      0.0%
Taiwan Academic Network (TANet) Information Center (2)   0.0%
Cascade Networks Incorporated (2)                        0.0%
Heinlein-Support GmbH (1)                                0.0%
Gamma Telecom Holdings Ltd (1)                           0.0%
NIIFI (Nemzeti Informacios Infrastruktura Fejleszt (1)   0.0%
Xirra GmbH (1)                                           0.0%
TalkTalk (6)                                             0.0%
Vodafone Portugal - Communicacoes Pessoais S.A. (2)      0.0%
Hutchison Drei Austria GmbH (2)                          0.0%
Australian Academic and Reasearch Network (AARNet) (2)   0.0%
Racknation S.A. (1)                                      0.0%
Sibinet, Ltd. (1)                                        0.0%
FIBIA P/S (2)                                            0.0%
JSC Garant-Siberia (1)                                   0.0%
ServeNET Solution Limited Partnership (1)                0.0%
eTOP sp. z o.o. (1)                                      0.0%
Tele 2 Nederland B.V. (2)                                0.0%
Panamaserver.com (3)                                     0.0%
MKS Telecom LLC (2)                                      0.0%
PODA a.s. (1)                                            0.0%
UNIVERSIDADE ESTADUAL DE CAMPINAS (2)                    0.0%
HETZNER (1)                                              0.0%
Brownrice Internet, Inc. (1)                             0.0%
ESDS Software Solution Pvt. Ltd. (1)                     0.0%
WEST CALL SPb LLC (2)                                    0.0%
D2 International Investment Ukraine Ltd. (2)             0.0%
Bollnas energi AB (1)                                    0.0%
Hostway Services, Inc. (1)                               0.0%
kabelplus GmbH (2)                                       0.0%
Trustica s.r.o. (2)                                      0.0%
GMO-Z.COM PTE. LTD. (2)                                  0.0%
Axtel, S.A.B. de C.V. (2)                                0.0%
TAZ Verlags- und Vertriebs GmbH (2)                      0.0%
Host Virtual, Inc (1)                                    0.0%
Dial Telecom, a.s. (2)                                   0.0%
Alibaba (China) Technology Co., Ltd. (7)                 0.0%
Hong Kong Broadband Network Ltd. (1)                     0.0%
New Wave Communications (1)                              0.0%
UCOM Corp. (1)                                           0.0%
TIME dotCom Berhad (1)                                   0.0%
Interhost Communication Solutions Ltd. (1)               0.0%
eSecureData (1)                                          0.0%
Cloudlayer8 Limited (1)                                  0.0%
Telecable de Asturias,SA (1)                             0.0%
Verein zur Foerderung freier Netze (ZVR: 814804682 (1)   0.0%
Brightbox Systems Ltd (1)                                0.0%
UAB Rakrejus (3)                                         0.0%
Sigterm Mikal Villa (2)                                  0.0%
komro GmbH (1)                                           0.0%
Net Onboard Sdn Bhd - Quality & Reliable Cloud Hos (1)   0.0%
AAPT Limited (2)                                         0.0%
Telekomunikacja Podlasie Sp. z o.o. (1)                  0.0%
Suomi Communications Oy (1)                              0.0%
Filanco, ltd. (2)                                        0.0%
Manx Telecom (1)                                         0.0%
PrimaCom Berlin GmbH (3)                                 0.0%
Internode Pty Ltd (9)                                    0.0%
SWITCH, LTD (2)                                          0.0%
Telekom Slovenije d.d. (1)                               0.0%
Nessus GmbH (2)                                          0.0%
Weacom Ltd (1)                                           0.0%
easystores GmbH (1)                                      0.0%
SiteHost New Zealand (2)                                 0.0%
CallPlus Services Limited (4)                            0.0%
Innsbrucker Kommunalbetriebe AG (1)                      0.0%
ZNET Telekom Zrt. (1)                                    0.0%
Speedbone Internet & Connectivity GmbH (2)               0.0%
NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC (2)       0.0%
NetStack-AS (1)                                          0.0%
Brutele SC (1)                                           0.0%
Blizoo Media and Broadband (1)                           0.0%
Cableworld Sl (1)                                        0.0%
Internet Initiative Japan Inc. (1)                       0.0%
Sun Network (Hong Kong) Limited - HongKong Backbon (1)   0.0%
iWeb Technologies Inc. (1)                               0.0%
VSHosting s.r.o. (1)                                     0.0%
York University (1)                                      0.0%
Spark Ventures (2)                                       0.0%
Kabelfernsehen Muenchen ServiCenter GmbH & Co.KG (4)     0.0%
VIPnet d.o.o. (1)                                        0.0%
Utelisys Communications B.V. (1)                         0.0%
Jisc Services Limited (1)                                0.0%
Wharf T&T Ltd. (1)                                       0.0%
Iskratelecom CJSC (1)                                    0.0%
NetCom BW GmbH (1)                                       0.0%
Asahi Net (1)                                            0.0%
ISKON INTERNET d.d. za informatiku i telekomunikac (1)   0.0%
Cjsc credo-telecom (1)                                   0.0%
Stiftelsen Goteborgs Studentbostader (1)                 0.0%
GorillaServers, Inc. (2)                                 0.0%
Bowdoin College (1)                                      0.0%
ISPHONE, INC. (1)                                        0.0%
Hrvatski Telekom d.d. (1)                                0.0%
NTT Communications Corporation (8)                       0.0%
TIS Dialog LLC (1)                                       0.0%
RendszerNET Kft. (1)                                     0.0%
Netia SA (3)                                             0.0%
TESATEL, s.r.o. (1)                                      0.0%
TOKAI Communications Corporation (1)                     0.0%
DataCorpore Serviços e Representações (1)             0.0%
Exa Bytes Network Sdn.Bhd. (1)                           0.0%
Worcester Polytechnic Institute (1)                      0.0%
IP TELECOM GLOBAL NETWORKS (2)                           0.0%
Ic-voronezh (1)                                          0.0%
IT-Lauget Parknet (2)                                    0.0%
Loveservers LTD (2)                                      0.0%
Bredbaand Nord A/S (1)                                   0.0%
CMC Telecommunications Services Company (1)              0.0%
Xtra Telecom S.A. (2)                                    0.0%
Colo4, LLC (2)                                           0.0%
Redcom-Internet Inc. (1)                                 0.0%
CMC Telecom Infrastructure Company (1)                   0.0%
MobileOne Ltd. Mobile/Internet Service Provider Si (1)   0.0%
NTT PC Communications, Inc. (7)                          0.0%
R Cable y Telecomunicaciones Galicia, S.A. (1)           0.0%
Regional Information Technologies Ltd. (1)               0.0%
VTR BANDA ANCHA S.A. (1)                                 0.0%
RackBank Datacenters Private Ltd (1)                     0.0%
MyRepublic Ltd. (1)                                      0.0%
Wholesale Services Provider (1)                          0.0%
SkipLink, LLC (2)                                        0.0%
CoreSite (1)                                             0.0%
Zelenaya Tochka Belgorod LLC (1)                         0.0%
Ucom LLC (1)                                             0.0%
JSC AIST (2)                                             0.0%
ABC Domain LLC (1)                                       0.0%
Codero (2)                                               0.0%
Spoldzielnia Telekomunikacyjna OST (1)                   0.0%
JM-Net, z.s. (1)                                         0.0%
PJSC Bashinformsvyaz (1)                                 0.0%
Freenet Ltd. (1)                                         0.0%
HostSlim BV (2)                                          0.0%
Digital Pacific Pty Ltd Australia (1)                    0.0%
CITYNET (2)                                              0.0%
MYREPUBLIC PTY LTD (1)                                   0.0%
VELTON.TELECOM Ltd (1)                                   0.0%
Cablelynx (1)                                            0.0%
OTEnet S.A. (3)                                          0.0%
iiNet Limited (2)                                        0.0%
SkyMesh Pty Ltd (2)                                      0.0%
Centro Educacional Nossa Senhora Auxiliadora (1)         0.0%
SWAN, a.s. (1)                                           0.0%
Omsoft Technologies (1)                                  0.0%
FreeBit Co.,Ltd. (2)                                     0.0%
TekTonic (1)                                             0.0%
IP-Converge Data Center, Inc. (1)                        0.0%
University of Maryland (2)                               0.0%
E-Light-Telecom (1)                                      0.0%
T-2, d.o.o. (1)                                          0.0%
Aura Fiber OE A/S (1)                                    0.0%
KrasLink, Ltd. (1)                                       0.0%
Gigas Hosting S.A. (1)                                   0.0%
htp GmbH (1)                                             0.0%
3S S.A. (1)                                              0.0%
skHosting.eu s.r.o. (1)                                  0.0%
Buzinessware FZCO (1)                                    0.0%
ORKA systems, s.r.o. (1)                                 0.0%
SECURED SERVERS LLC (1)                                  0.0%
LIWEST Kabelfernsehen Errichtungs- und Betriebs Ge (3)   0.0%
Servicos De Comunicacoes E Multimedia S.A. (2)           0.0%
Digital Energy Technologies Chile SpA (1)                0.0%
Cogeco Cable (1)                                         0.0%
SychrovNET s.r.o (1)                                     0.0%
FIBERNETICS CORPORATION (1)                              0.0%
Nimbus2 Pty Ltd T/A ServerMule (1)                       0.0%
EBL Global Networks, Inc. (1)                            0.0%
noris network AG (2)                                     0.0%
TBS Strom AG (1)                                         0.0%
Consolidated Communications, Inc. (1)                    0.0%
Long Lines Internet (1)                                  0.0%
Spirit Telecom (Australia) Pty Ltd (1)                   0.0%
Web24 Virtual & Dedicated hosting service provider (1)   0.0%
TPG Telecom Limited (8)                                  0.0%
e-Net, s.r.o. (1)                                        0.0%
AS250.net Foundation (1)                                 0.0%
LG DACOM Corporation (1)                                 0.0%
Multimedia Polska S.A. (2)                               0.0%
Shinjiru Technology Sdn Bhd (9)                          0.0%
PJSC Ukrtelecom (3)                                      0.0%
DISTRIBUTEL COMMUNICATIONS LTD. (1)                      0.0%
Metronet telekomunikacije d.d. (1)                       0.0%
QSC AG (5)                                               0.0%
Connexions4London Ltd (4)                                0.0%
Cloudie Limited (1)                                      0.0%
TELTA Citynetz GmbH (1)                                  0.0%
ServiHosting Networks S.L. (1)                           0.0%
Airstream Communications, LLC (2)                        0.0%
Nebula Oy (2)                                            0.0%
TRICOM (1)                                               0.0%
uvensys GmbH (4)                                         0.0%
senseLAN GmbH (1)                                        0.0%
ENTEGA Medianet GmbH (2)                                 0.0%
Universidad Nacional Autonoma de Mexico (1)              0.0%
TM Net, Internet Service Provider (1)                    0.0%
Telecommunication Company Vinteleport Ltd. (1)           0.0%
InSPire Net Ltd (1)                                      0.0%
Northwestel Inc. (1)                                     0.0%
Ratt Internet Kapacitet i Sverige AB (1)                 0.0%
iTools JSC (1)                                           0.0%
Hacettepe Universitesi (1)                               0.0%
Telstra Pty Ltd (5)                                      0.0%
Digital United Inc. (1)                                  0.0%
FUJITSU LIMITED (1)                                      0.0%
CABLEVISION S.A. (1)                                     0.0%
UGMK-Telecom LLC (1)                                     0.0%
Infobunker, L.L.C. (2)                                   0.0%
California State University, Office of the Chancel (1)   0.0%
Exa Networks Limited (1)                                 0.0%
CLARO S.A. (5)                                           0.0%
TELEKOM SRBIJA a.d. (1)                                  0.0%
Hathway IP Over Cable Internet (1)                       0.0%
CABO SERVICOS DE TELECOMUNICACOES LTDA (1)               0.0%
Hringdu ehf (1)                                          0.0%
Mediacom Communications Corp (1)                         0.0%
Origin Broadband Limited (1)                             0.0%
COMCEL GUATEMALA S.A. (1)                                0.0%
PT. Raja Sepadan Abadi (1)                               0.0%
Telia Stofa A/S (3)                                      0.0%
012 Smile Communications LTD. (1)                        0.0%
453 Ladplacout Jorakhaebua (1)                           0.0%
TAL.DE Klaus Internet Service GmbH (2)                   0.0%
ENTEL CHILE S.A. (1)                                     0.0%
Civil associaton Init Lab (1)                            0.0%
Midcontinent Communications (1)                          0.0%
WestPAnet, Inc. (1)                                      0.0%
ELEMENTMEDIA GmbH (1)                                    0.0%
Primus Telecommunications (2)                            0.0%
Lightup Network Solutions GmbH & Co. KG (3)              0.0%
LLC Columbia-Telecom (1)                                 0.0%
Rychly drat, s.r.o. (1)                                  0.0%
Telecel S.A. (1)                                         0.0%
CONECTA LTDA. (1)                                        0.0%
OPTINET (3)                                              0.0%
ARDH GLOBAL INDONESIA, PT (1)                            0.0%
Casablanca INT (1)                                       0.0%
SAREnet, S.A. (1)                                        0.0%
FortressITX (1)                                          0.0%
OOO Post ltd (1)                                         0.0%
Tiscali SpA (2)                                          0.0%
Biddeford Internet Corp (2)                              0.0%
AMSNET Andrzej Szreter (1)                               0.0%
Hot-Net internet services Ltd. (1)                       0.0%
HL komm Telekommunikations GmbH (1)                      0.0%
Wintek Corporation (1)                                   0.0%
JAB Wireless, INC. (1)                                   0.0%
Princeton University (1)                                 0.0%
ConSol Consulting & Solutions Software GmbH (1)          0.0%
ITISINTERNET (1)                                         0.0%
Elkdata OU (1)                                           0.0%
Vienna University Computer Center (1)                    0.0%
Unified Layer (1)                                        0.0%
ODERLAND Webbhotell AB (1)                               0.0%
Kangaroot BVBA (1)                                       0.0%
NextGenTel AS (2)                                        0.0%
Windstream Communications Inc (2)                        0.0%
manitu GmbH (1)                                          0.0%
Fundacao para a Ciencia e a Tecnologia, I.P. (1)         0.0%
Cable One, Inc. (1)                                      0.0%
TelemaxX Telekommunikation GmbH (1)                      0.0%
OAO Osnova Telecom (1)                                   0.0%
TELE AG (1)                                              0.0%
EastLink (1)                                             0.0%
Emery Telcom (1)                                         0.0%
Corporate Colocation Inc. (1)                            0.0%
ImproWare AG (1)                                         0.0%
Individual Entrepreneur Tetiana Markova (1)              0.0%
Ruscom Ltd. (1)                                          0.0%
Tarr Kft. (1)                                            0.0%
Avensys Networks Ltd (1)                                 0.0%
BEK Communications Cooperative (1)                       0.0%
mywire Datentechnik GmbH (1)                             0.0%
Vladivostokskaya Set LTD (1)                             0.0%
Digiweb ltd (1)                                          0.0%
Panix Network Information Center (1)                     0.0%
Site LLC (1)                                             0.0%
IT7 Networks Inc (1)                                     0.0%
Nexinto GmbH (1)                                         0.0%
Mulgin Alexander Sergeevich (1)                          0.0%
VSE NET GmbH (1)                                         0.0%
Luxembourg Online S.A. (1)                               0.0%
Suddenlink Communications (1)                            0.0%
Amanah Tech Inc. (2)                                     0.0%
Rethem Hosting LLC (1)                                   0.0%
Pakistan Telecom Company Limited (1)                     0.0%
Serverel Corp (1)                                        0.0%
ANGANI-AS (1)                                            0.0%
Chaos Computer Club e.V. (1)                             0.0%
Intek-M LLC (1)                                          0.0%
Manche Telecom (1)                                       0.0%
Gtd Internet S.A. (1)                                    0.0%
Telemar Norte Leste S.A. (1)                             0.0%
NSS S.A. (1)                                             0.0%
CYBERSERVICE Internetdienstleistungs GmbH (1)            0.0%
Logitus Sp. z o.o. (1)                                   0.0%
INEA S.A. (1)                                            0.0%
Sonic Telecom LLC (2)                                    0.0%
Cable & Wireless UK P.U.C. (1)                           0.0%
LigaLink, Ltd. (1)                                       0.0%
Metroset (1)                                             0.0%
Synergy Internet Services Florida (1)                    0.0%
N.Nikolov Ltd (1)                                        0.0%
SWITCH (1)                                               0.0%
Telefonica Data S.A. (1)                                 0.0%
Wobcom GmbH (3)                                          0.0%
Patrik Lagerman WEB, Enskild Firma (1)                   0.0%
ennit server GmbH (1)                                    0.0%
Tunisia BackBone AS (1)                                  0.0%
Tyfon (1)                                                0.0%
mitko.com Eood (1)                                       0.0%
Microplex PTY LTD (1)                                    0.0%
ManagedWay (1)                                           0.0%
FASTER CZ spol. s r.o. (1)                               0.0%
Bergon Internet Ltd. (1)                                 0.0%
Sc Cloud Troopers International Srl (1)                  0.0%
Source XS B.V. (1)                                       0.0%
Cable & Wireless Access Limited (1)                      0.0%
Ymobile Corporation (1)                                  0.0%
Vodafone-panafon Hellenic Telecommunications Compa (1)   0.0%
CityLanCom LTD (1)                                       0.0%
Oricom Internet (1)                                      0.0%
AlpineDC SA (1)                                          0.0%
Pishgaman Toseeh Ertebatat Company (Private Joint  (1)   0.0%
KhmelnitskInfocom LTD (1)                                0.0%
Moselle Telecom (1)                                      0.0%
Binariang Berhad (1)                                     0.0%
Balnet Ltd. (1)                                          0.0%
Forthnet (1)                                             0.0%
CenturyTel Internet Holdings, Inc. (1)                   0.0%
OOO Bryansk Svyaz-TV (1)                                 0.0%
BITel Gesellschaft fuer Telekommunikation mbH (1)        0.0%
ISP Fregat Ltd. (1)                                      0.0%
McGill University (1)                                    0.0%
NetNet (1)                                               0.0%
BIZNET NETWORKS (1)                                      0.0%
KSS-Telecom OOO (1)                                      0.0%
The Corporation for Financing & Promoting Technolo (5)   0.0%
Prima S.A. (1)                                           0.0%
RFTkabel Brandenburg GmbH (1)                            0.0%
INSYS LLC (1)                                            0.0%
Teleradiocompany Teleos-1 Ltd (1)                        0.0%
LLC PioneerNet (1)                                       0.0%
CMB (1)                                                  0.0%
Kcom (1)                                                 0.0%
Trgovsko radiodifuzno drustvo kablovska televizija (1)   0.0%
Call Flow Solutions Ltd (1)                              0.0%
JEFFERSON CO. CABLE, INC. (1)                            0.0%
GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joi (1)   0.0%
ADAMANT, Ltd. (1)                                        0.0%
Softbank BB Corp. (3)                                    0.0%
Cutting Edge Communications, Inc. (1)                    0.0%
Lightwave Networking, LLC (1)                            0.0%
MDlink online service center GmbH (1)                    0.0%
H88 S.A. (1)                                             0.0%
Inter.Net Germany (1)                                    0.0%
Milleni.com (1)                                          0.0%
Firm BALTTELEKOM (1)                                     0.0%
Administracion Nacional de Telecomunicaciones (1)        0.0%
IE Kazakov Aleksey Dmitrievich (1)                       0.0%
BIGLOBE Inc. (1)                                         0.0%
MILLICOM CABLE COSTA RICA S.A. (1)                       0.0%
HeLi NET Telekommunication GmbH & Co. (1)                0.0%
Agence Tunisienne d'Internet (1)                         0.0%
Information Technology Company (ITC) (1)                 0.0%
Closed Joint Stock Company CROC incorporated (1)         0.0%
National Internet Backbone (1)                           0.0%
Exetel Pty Ltd (2)                                       0.0%
PJSC MegaFon (2)                                         0.0%
PT Telekomunikasi Indonesia (2)                          0.0%
Afrihost (1)                                             0.0%
JSC Vostoktelecom (1)                                    0.0%
LLC Teledyne Systems Limited (1)                         0.0%
Palestine Telecommunications Company (PALTEL) (1)        0.0%
PT. Mediatama Telematika Nusantara (1)                   0.0%
RCL CJSC (1)                                             0.0%
PP MainStream (1)                                        0.0%
Telecom Argentina S.A. (1)                               0.0%
Starnet Servicii SRL (1)                                 0.0%


Copyright (C) 2017 by Tor Diversity Project <tdp@nycbug.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
