
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (count)        BANDWIDTH
AS199267 (2)      2600738.0 (0.0%)
AS14361 (2)       2588945.0 (0.0%)
AS51352 (1)       2581821.0 (0.0%)
AS16904 (1)       2575392.0 (0.0%)
AS42455 (1)       2568268.0 (0.0%)
AS24685 (1)       2559444.0 (0.0%)
AS196653 (1)      2543171.0 (0.0%)
AS22989 (1)       2540682.0 (0.0%)
AS39598 (1)       2538136.0 (0.0%)
AS49608 (2)       2536275.0 (0.0%)
AS23033 (3)       2533911.0 (0.0%)
AS2514 (7)        2532480.0 (0.0%)
AS201213 (2)      2529404.0 (0.0%)
AS1403 (3)        2519624.0 (0.0%)
AS48160 (1)       2516510.0 (0.0%)
AS44812 (2)       2511930.0 (0.0%)
AS136258 (2)      2503136.0 (0.0%)
AS42387 (1)       2503121.0 (0.0%)
AS34549 (1)       2501774.0 (0.0%)
AS34989 (1)       2485670.0 (0.0%)
AS29456 (2)       2469776.0 (0.0%)
AS25091 (1)       2459584.0 (0.0%)
AS8427 (1)        2457599.0 (0.0%)
AS63242 (1)       2453390.0 (0.0%)
AS11351 (6)       2440919.0 (0.0%)
AS12659 (1)       2436694.0 (0.0%)
AS9105 (4)        2434015.0 (0.0%)
AS12695 (2)       2433045.0 (0.0%)
AS719 (3)         2430913.0 (0.0%)
AS10796 (7)       2423469.0 (0.0%)
AS33028 (1)       2413952.0 (0.0%)
AS8359 (2)        2395881.0 (0.0%)
AS23338 (1)       2390627.0 (0.0%)
AS32354 (2)       2373709.0 (0.0%)
AS45179 (2)       2366757.0 (0.0%)
AS12611 (1)       2356216.0 (0.0%)
AS2860 (3)        2343750.0 (0.0%)
AS29588 (1)       2343545.0 (0.0%)
AS51838 (1)       2333210.0 (0.0%)
AS15895 (2)       2333042.0 (0.0%)
AS9304 (3)        2326760.0 (0.0%)
AS42431 (1)       2322682.0 (0.0%)
AS49125 (1)       2298465.0 (0.0%)
AS49583 (1)       2294120.0 (0.0%)
AS39857 (2)       2280973.0 (0.0%)
AS61102 (1)       2256323.0 (0.0%)
AS34145 (1)       2251487.0 (0.0%)
AS19994 (3)       2240008.0 (0.0%)
AS6503 (2)        2235392.0 (0.0%)
AS6428 (1)        2218025.0 (0.0%)
AS21949 (1)       2207415.0 (0.0%)
AS57166 (2)       2206297.0 (0.0%)
AS199129 (1)      2194663.0 (0.0%)
AS44925 (4)       2160274.0 (0.0%)
AS31 (1)          2155014.0 (0.0%)
AS8371 (1)        2146348.0 (0.0%)
AS5541 (1)        2145166.0 (0.0%)
AS15682 (3)       2139316.0 (0.0%)
AS8047 (2)        2137832.0 (0.0%)
AS39959 (1)       2123360.0 (0.0%)
AS6640 (1)        2114211.0 (0.0%)
AS137 (3)         2060935.0 (0.0%)
AS812 (1)         2046171.0 (0.0%)
AS12479 (6)       2032921.0 (0.0%)
AS55 (1)          2024995.0 (0.0%)
AS2764 (2)        1979901.0 (0.0%)
AS5009 (1)        1978675.0 (0.0%)
AS20722 (1)       1976367.0 (0.0%)
AS20880 (5)       1970744.0 (0.0%)
AS2496 (1)        1956859.0 (0.0%)
AS53850 (2)       1945614.0 (0.0%)
AS31246 (1)       1915605.0 (0.0%)
AS4771 (5)        1900073.0 (0.0%)
AS197648 (1)      1895220.0 (0.0%)
AS20278 (3)       1888114.0 (0.0%)
AS15527 (2)       1870409.0 (0.0%)
AS45815 (1)       1867250.0 (0.0%)
AS133579 (2)      1862031.0 (0.0%)
AS45102 (7)       1860978.0 (0.0%)
AS29405 (2)       1859939.0 (0.0%)
AS33083 (1)       1847378.0 (0.0%)
AS4739 (9)        1839004.0 (0.0%)
AS9318 (2)        1833570.0 (0.0%)
AS51035 (1)       1827058.0 (0.0%)
AS34977 (1)       1825792.0 (0.0%)
AS8559 (1)        1823556.0 (0.0%)
AS46841 (1)       1814357.0 (0.0%)
AS206977 (1)      1809408.0 (0.0%)
AS43148 (1)       1803383.0 (0.0%)
AS54489 (1)       1797383.0 (0.0%)
AS15782 (1)       1794137.0 (0.0%)
AS4713 (8)        1789729.0 (0.0%)
AS6828 (1)        1772775.0 (0.0%)
AS51819 (1)       1766353.0 (0.0%)
AS13618 (1)       1750313.0 (0.0%)
AS7545 (8)        1747957.0 (0.0%)
AS41843 (1)       1720707.0 (0.0%)
AS7575 (2)        1714867.0 (0.0%)
AS9370 (2)        1705429.0 (0.0%)
AS4181 (2)        1687476.0 (0.0%)
AS38680 (1)       1676862.0 (0.0%)
AS9790 (4)        1668462.0 (0.0%)
AS31027 (2)       1663478.0 (0.0%)
AS1659 (2)        1662712.0 (0.0%)
AS37692 (1)       1623656.0 (0.0%)
AS63037 (1)       1621342.0 (0.0%)
AS30822 (2)       1620992.0 (0.0%)
AS8893 (1)        1567947.0 (0.0%)
AS9930 (1)        1565786.0 (0.0%)
AS3249 (1)        1558198.0 (0.0%)
AS7203 (1)        1555249.0 (0.0%)
AS6364 (1)        1546309.0 (0.0%)
AS9145 (3)        1536233.0 (0.0%)
AS852 (4)         1531452.0 (0.0%)
AS21637 (1)       1518126.0 (0.0%)
AS17506 (1)       1509573.0 (0.0%)
AS198310 (2)      1494136.0 (0.0%)
AS63916 (2)       1480351.0 (0.0%)
AS60533 (1)       1476688.0 (0.0%)
AS6876 (2)        1464451.0 (0.0%)
AS33588 (2)       1461285.0 (0.0%)
AS286 (1)         1456638.0 (0.0%)
AS200615 (1)      1453245.0 (0.0%)
AS56610 (1)       1450133.0 (0.0%)
AS15594 (1)       1443136.0 (0.0%)
AS1267 (5)        1438714.0 (0.0%)
AS40029 (2)       1428737.0 (0.0%)
AS56329 (1)       1425750.0 (0.0%)
AS5563 (2)        1379919.0 (0.0%)
AS15747 (1)       1376367.0 (0.0%)
AS12338 (2)       1370765.0 (0.0%)
AS25560 (5)       1370083.0 (0.0%)
AS39554 (2)       1349925.0 (0.0%)
AS30968 (1)       1346009.0 (0.0%)
AS12576 (3)       1344515.0 (0.0%)
AS28719 (1)       1337167.0 (0.0%)
AS197155 (1)      1320432.0 (0.0%)
AS13285 (4)       1319762.0 (0.0%)
AS6702 (1)        1315920.0 (0.0%)
AS12353 (2)       1314975.0 (0.0%)
AS202905 (1)      1304458.0 (0.0%)
AS19237 (1)       1303916.0 (0.0%)
AS13118 (2)       1296998.0 (0.0%)
AS15615 (1)       1293503.0 (0.0%)
AS41018 (1)       1293318.0 (0.0%)
AS31655 (1)       1292800.0 (0.0%)
AS1741 (1)        1292158.0 (0.0%)
AS59939 (1)       1291852.0 (0.0%)
AS9002 (1)        1289486.0 (0.0%)
AS49403 (1)       1288878.0 (0.0%)
AS43478 (1)       1282944.0 (0.0%)
AS29580 (1)       1278454.0 (0.0%)
AS8866 (2)        1268968.0 (0.0%)
AS15894 (1)       1266688.0 (0.0%)
AS12872 (1)       1265664.0 (0.0%)
AS35411 (1)       1259851.0 (0.0%)
AS6735 (1)        1259286.0 (0.0%)
AS29471 (1)       1257547.0 (0.0%)
AS45012 (1)       1256474.0 (0.0%)
AS52022 (1)       1256448.0 (0.0%)
AS8953 (1)        1252006.0 (0.0%)
AS4150 (1)        1250782.0 (0.0%)
AS4694 (1)        1248889.0 (0.0%)
AS15925 (1)       1248802.0 (0.0%)
AS60392 (1)       1248005.0 (0.0%)
AS29124 (1)       1246208.0 (0.0%)
AS53187 (2)       1244785.0 (0.0%)
AS45413 (1)       1239540.0 (0.0%)
AS20738 (1)       1235933.0 (0.0%)
AS16242 (1)       1232825.0 (0.0%)
AS13127 (2)       1230897.0 (0.0%)
AS39087 (1)       1229714.0 (0.0%)
AS32475 (1)       1228078.0 (0.0%)
AS43765 (1)       1227659.0 (0.0%)
AS59349 (2)       1224515.0 (0.0%)
AS39194 (1)       1224335.0 (0.0%)
AS32400 (1)       1222951.0 (0.0%)
AS13272 (1)       1221499.0 (0.0%)
AS6799 (3)        1220572.0 (0.0%)
AS8439 (2)        1219437.0 (0.0%)
AS45470 (2)       1217630.0 (0.0%)
AS37153 (1)       1214422.0 (0.0%)
AS58238 (2)       1213440.0 (0.0%)
AS6407 (1)        1213385.0 (0.0%)
AS17098 (1)       1203587.0 (0.0%)
AS198031 (2)      1198394.0 (0.0%)
AS13649 (1)       1197297.0 (0.0%)
AS1955 (1)        1194799.0 (0.0%)
AS15728 (1)       1194101.0 (0.0%)
AS6697 (1)        1191762.0 (0.0%)
AS52423 (1)       1191086.0 (0.0%)
AS50115 (1)       1190166.0 (0.0%)
AS8447 (3)        1186738.0 (0.0%)
AS9381 (1)        1186707.0 (0.0%)
AS30823 (1)       1181696.0 (0.0%)
AS5390 (1)        1176027.0 (0.0%)
AS40788 (1)       1174974.0 (0.0%)
AS12993 (1)       1174682.0 (0.0%)
AS8905 (1)        1174474.0 (0.0%)
AS11014 (1)       1164388.0 (0.0%)
AS1161 (1)        1154900.0 (0.0%)
AS39375 (1)       1144987.0 (0.0%)
AS2734 (1)        1142919.0 (0.0%)
AS35470 (3)       1141706.0 (0.0%)
AS57389 (1)       1135085.0 (0.0%)
AS40475 (1)       1128057.0 (0.0%)
AS9269 (1)        1124533.0 (0.0%)
AS35244 (4)       1121860.0 (0.0%)
AS200858 (1)      1114859.0 (0.0%)
AS14987 (1)       1099776.0 (0.0%)
AS12499 (1)       1096892.0 (0.0%)
AS8749 (1)        1087829.0 (0.0%)
AS5523 (1)        1082368.0 (0.0%)
AS199118 (1)      1078834.0 (0.0%)
AS2497 (1)        1071167.0 (0.0%)
AS19318 (2)       1064844.0 (0.0%)
AS46015 (1)       1054185.0 (0.0%)
AS48823 (1)       1044115.0 (0.0%)
AS3243 (2)        1041480.0 (0.0%)
AS12768 (1)       1037056.0 (0.0%)
AS45144 (1)       1022235.0 (0.0%)
AS62240 (1)       1021090.0 (0.0%)
AS679 (1)         1006516.0 (0.0%)
AS133124 (2)      1000053.0 (0.0%)
AS29870 (2)       998110.0 (0.0%)
AS4802 (2)        992392.0 (0.0%)
AS22047 (1)       985626.0 (0.0%)
AS21040 (1)       969793.0 (0.0%)
AS44869 (2)       946673.0 (0.0%)
AS22281 (1)       945693.0 (0.0%)
AS51873 (1)       944678.0 (0.0%)
AS22847 (1)       944526.0 (0.0%)
AS203523 (1)      940617.0 (0.0%)
AS20807 (1)       928483.0 (0.0%)
AS28812 (1)       925489.0 (0.0%)
AS28573 (5)       923812.0 (0.0%)
AS44684 (1)       922074.0 (0.0%)
AS5603 (1)        921001.0 (0.0%)
AS23005 (2)       917819.0 (0.0%)
AS197443 (1)      913987.0 (0.0%)
AS31214 (1)       908922.0 (0.0%)
AS43082 (2)       908599.0 (0.0%)
AS30764 (1)       908540.0 (0.0%)
AS20021 (1)       903137.0 (0.0%)
AS56067 (1)       899922.0 (0.0%)
AS12741 (3)       894370.0 (0.0%)
AS197695 (1)      884699.0 (0.0%)
AS25255 (2)       881538.0 (0.0%)
AS57423 (2)       865411.0 (0.0%)
AS1901 (2)        840979.0 (0.0%)
AS25577 (4)       837853.0 (0.0%)
AS33785 (2)       831519.0 (0.0%)
AS10010 (1)       805771.0 (0.0%)
AS62282 (3)       805246.0 (0.0%)
AS46176 (2)       788230.0 (0.0%)
AS29076 (2)       774728.0 (0.0%)
AS133525 (1)      769178.0 (0.0%)
AS39927 (1)       768346.0 (0.0%)
AS10326 (1)       768000.0 (0.0%)
AS20712 (1)       766768.0 (0.0%)
AS43541 (1)       762486.0 (0.0%)
AS786 (1)         760622.0 (0.0%)
AS16075 (2)       759124.0 (0.0%)
AS55933 (1)       756736.0 (0.0%)
AS45903 (1)       756475.0 (0.0%)
AS4773 (1)        756241.0 (0.0%)
AS45731 (1)       753701.0 (0.0%)
AS56300 (1)       744565.0 (0.0%)
AS20625 (1)       739328.0 (0.0%)
AS12946 (1)       738424.0 (0.0%)
AS60140 (1)       738256.0 (0.0%)
AS204092 (1)      737841.0 (0.0%)
AS2840 (1)        736397.0 (0.0%)
AS51191 (1)       736256.0 (0.0%)
AS23930 (1)       729730.0 (0.0%)
AS18812 (1)       727082.0 (0.0%)
AS20375 (2)       714992.0 (0.0%)
AS15704 (2)       714810.0 (0.0%)
AS12334 (1)       713719.0 (0.0%)
AS7477 (2)        713032.0 (0.0%)
AS31510 (1)       712025.0 (0.0%)
AS32489 (2)       711930.0 (0.0%)
AS12392 (1)       708906.0 (0.0%)
AS15657 (2)       698122.0 (0.0%)
AS47215 (1)       697058.0 (0.0%)
AS15962 (1)       695296.0 (0.0%)
AS4685 (1)        673272.0 (0.0%)
AS45671 (1)       666362.0 (0.0%)
AS29413 (1)       662489.0 (0.0%)
AS132779 (1)      662207.0 (0.0%)
AS11831 (1)       657528.0 (0.0%)
AS55803 (1)       653440.0 (0.0%)
AS44395 (1)       650695.0 (0.0%)
AS38197 (1)       645120.0 (0.0%)
AS20853 (1)       640650.0 (0.0%)
AS9310 (1)        637987.0 (0.0%)
AS36236 (1)       634591.0 (0.0%)
AS41754 (1)       628720.0 (0.0%)
AS16302 (1)       627706.0 (0.0%)
AS250 (1)         627197.0 (0.0%)
AS49352 (1)       626446.0 (0.0%)
AS51059 (1)       626100.0 (0.0%)
AS42187 (1)       624061.0 (0.0%)
AS16281 (1)       616942.0 (0.0%)
AS29208 (1)       615273.0 (0.0%)
AS201270 (1)      614764.0 (0.0%)
AS31148 (1)       614593.0 (0.0%)
AS51034 (1)       612563.0 (0.0%)
AS9371 (1)        612457.0 (0.0%)
AS25408 (1)       612177.0 (0.0%)
AS24945 (1)       606208.0 (0.0%)
AS53111 (1)       589423.0 (0.0%)
AS58329 (1)       588850.0 (0.0%)
AS13122 (1)       588693.0 (0.0%)
AS61440 (1)       577155.0 (0.0%)
AS8887 (1)        576237.0 (0.0%)
AS47987 (2)       574950.0 (0.0%)
AS60267 (1)       574570.0 (0.0%)
AS5391 (1)        573829.0 (0.0%)
AS29252 (1)       565390.0 (0.0%)
AS31242 (1)       562176.0 (0.0%)
AS16202 (3)       556857.0 (0.0%)
AS20676 (5)       543097.0 (0.0%)
AS197301 (2)      541630.0 (0.0%)
AS199673 (1)      531115.0 (0.0%)
AS1221 (5)        527726.0 (0.0%)
AS47692 (2)       521912.0 (0.0%)
AS200429 (2)      515737.0 (0.0%)
AS60071 (1)       510510.0 (0.0%)
AS58010 (4)       506941.0 (0.0%)
AS32613 (1)       506407.0 (0.0%)
AS38732 (1)       506211.0 (0.0%)
AS17705 (1)       505819.0 (0.0%)
AS6849 (3)        504929.0 (0.0%)
AS20340 (1)       502590.0 (0.0%)
AS34171 (1)       494020.0 (0.0%)
AS57188 (1)       489663.0 (0.0%)
AS36024 (2)       486857.0 (0.0%)
AS38790 (1)       483348.0 (0.0%)
AS2510 (1)        481722.0 (0.0%)
AS10013 (2)       480825.0 (0.0%)
AS42355 (1)       475955.0 (0.0%)
AS13046 (1)       475353.0 (0.0%)
AS3786 (1)        472115.0 (0.0%)
AS12605 (3)       470417.0 (0.0%)
AS3549 (1)        461592.0 (0.0%)
AS802 (1)         460803.0 (0.0%)
AS38987 (1)       455148.0 (0.0%)
AS31012 (1)       448496.0 (0.0%)
AS6856 (1)        445033.0 (0.0%)
AS13124 (1)       443747.0 (0.0%)
AS45146 (1)       441344.0 (0.0%)
AS35549 (1)       436190.0 (0.0%)
AS200533 (1)      424457.0 (0.0%)
AS36149 (1)       422912.0 (0.0%)
AS18501 (1)       414743.0 (0.0%)
AS52284 (3)       406563.0 (0.0%)
AS55045 (1)       403391.0 (0.0%)
AS10316 (1)       399408.0 (0.0%)
AS198813 (1)      397041.0 (0.0%)
AS62099 (1)       389625.0 (0.0%)
AS16160 (1)       375972.0 (0.0%)
AS12337 (2)       374763.0 (0.0%)
AS201702 (1)      373139.0 (0.0%)
AS14051 (1)       368640.0 (0.0%)
AS34248 (1)       364649.0 (0.0%)
AS15640 (1)       364096.0 (0.0%)
AS36436 (2)       357845.0 (0.0%)
AS23387 (1)       355777.0 (0.0%)
AS21021 (2)       355369.0 (0.0%)
AS18881 (3)       343087.0 (0.0%)
AS11796 (2)       342072.0 (0.0%)
AS32867 (1)       336632.0 (0.0%)
AS45454 (1)       334793.0 (0.0%)
AS3262 (1)        331987.0 (0.0%)
AS29422 (2)       330507.0 (0.0%)
AS21032 (1)       321111.0 (0.0%)
AS6471 (1)        319488.0 (0.0%)
AS197288 (3)      318996.0 (0.0%)
AS48133 (1)       314440.0 (0.0%)
AS41715 (1)       314368.0 (0.0%)
AS27 (2)          314097.0 (0.0%)
AS204274 (1)      313899.0 (0.0%)
AS31736 (1)       313396.0 (0.0%)
AS13354 (1)       307683.0 (0.0%)
AS51896 (1)       305370.0 (0.0%)
AS43234 (2)       304806.0 (0.0%)
AS12897 (2)       304416.0 (0.0%)
AS7992 (1)        298706.0 (0.0%)
AS20454 (1)       298273.0 (0.0%)
AS13045 (1)       297013.0 (0.0%)
AS18403 (5)       294989.0 (0.0%)
AS34779 (1)       293937.0 (0.0%)
AS36493 (1)       288165.0 (0.0%)
AS7029 (2)        287824.0 (0.0%)
AS53508 (1)       283172.0 (0.0%)
AS9443 (2)        280977.0 (0.0%)
AS29119 (1)       277048.0 (0.0%)
AS25486 (3)       275744.0 (0.0%)
AS35540 (2)       267918.0 (0.0%)
AS15685 (1)       261379.0 (0.0%)
AS13110 (1)       259929.0 (0.0%)
AS4788 (1)        254196.0 (0.0%)
AS11814 (1)       253647.0 (0.0%)
AS9829 (1)        253609.0 (0.0%)
AS41560 (1)       252358.0 (0.0%)
AS8400 (1)        252350.0 (0.0%)
AS63962 (1)       252041.0 (0.0%)
AS6058 (1)        251904.0 (0.0%)
AS1426 (1)        251888.0 (0.0%)
AS34610 (1)       249942.0 (0.0%)
AS2152 (1)        248765.0 (0.0%)
AS56324 (1)       247808.0 (0.0%)
AS30036 (1)       247628.0 (0.0%)
AS57286 (1)       247441.0 (0.0%)
AS17488 (1)       246784.0 (0.0%)
AS8820 (2)        240612.0 (0.0%)
AS10318 (1)       239064.0 (0.0%)
AS23201 (1)       236987.0 (0.0%)
AS4780 (1)        233499.0 (0.0%)
AS24922 (1)       232473.0 (0.0%)
AS30740 (1)       230459.0 (0.0%)
AS28220 (1)       228682.0 (0.0%)
AS5760 (2)        226797.0 (0.0%)
AS17676 (3)       224463.0 (0.0%)
AS60257 (1)       222631.0 (0.0%)
AS12494 (1)       214016.0 (0.0%)
AS58319 (1)       213772.0 (0.0%)
AS12066 (1)       209324.0 (0.0%)
AS15659 (2)       204487.0 (0.0%)
AS9136 (3)        199995.0 (0.0%)
AS8675 (1)        195584.0 (0.0%)
AS10474 (3)       190047.0 (0.0%)
AS16097 (1)       184069.0 (0.0%)
AS21213 (1)       182317.0 (0.0%)
AS43341 (1)       175821.0 (0.0%)
AS46375 (2)       173280.0 (0.0%)
AS8612 (2)        172122.0 (0.0%)
AS9063 (1)        168092.0 (0.0%)
AS36049 (1)       167161.0 (0.0%)
AS35205 (1)       165806.0 (0.0%)
AS1930 (1)        161319.0 (0.0%)
AS20392 (1)       160815.0 (0.0%)
AS41585 (1)       158646.0 (0.0%)
AS11232 (1)       157807.0 (0.0%)
AS59444 (1)       157619.0 (0.0%)
AS31585 (1)       157434.0 (0.0%)
AS30745 (1)       154922.0 (0.0%)
AS201094 (1)      153600.0 (0.0%)
AS202618 (1)      152501.0 (0.0%)
AS11492 (1)       152218.0 (0.0%)
AS50245 (1)       148480.0 (0.0%)
AS8339 (1)        144232.0 (0.0%)
AS11114 (1)       142607.0 (0.0%)
AS5438 (1)        137216.0 (0.0%)
AS25653 (1)       136546.0 (0.0%)
AS37589 (1)       135167.0 (0.0%)
AS46606 (1)       135151.0 (0.0%)
AS14259 (1)       133916.0 (0.0%)
AS28707 (1)       132665.0 (0.0%)
AS35100 (1)       132096.0 (0.0%)
AS34240 (1)       130052.0 (0.0%)
AS19108 (1)       130011.0 (0.0%)
AS21250 (1)       129834.0 (0.0%)
AS8632 (1)        129528.0 (0.0%)
AS44136 (1)       129189.0 (0.0%)
AS395374 (1)      128062.0 (0.0%)
AS36728 (1)       126939.0 (0.0%)
AS8553 (1)        126198.0 (0.0%)
AS760 (1)         125889.0 (0.0%)
AS3253 (1)        125744.0 (0.0%)
AS17139 (1)       124870.0 (0.0%)
AS25820 (1)       124539.0 (0.0%)
AS2609 (1)        124267.0 (0.0%)
AS6659 (1)        122880.0 (0.0%)
AS34065 (1)       122010.0 (0.0%)
AS3308 (1)        120395.0 (0.0%)
AS11138 (1)       120326.0 (0.0%)
AS37684 (1)       120141.0 (0.0%)
AS12436 (1)       119808.0 (0.0%)
AS50923 (1)       119645.0 (0.0%)
AS6772 (1)        119122.0 (0.0%)
AS8462 (1)        118675.0 (0.0%)
AS559 (1)         118594.0 (0.0%)
AS8788 (1)        118524.0 (0.0%)
AS11260 (1)       118198.0 (0.0%)
AS198185 (1)      118091.0 (0.0%)
AS5378 (1)        117293.0 (0.0%)
AS11419 (1)       117224.0 (0.0%)
AS58243 (1)       116736.0 (0.0%)
AS61189 (1)       116687.0 (0.0%)
AS10481 (1)       116339.0 (0.0%)
AS198967 (1)      115627.0 (0.0%)
AS88 (1)          114853.0 (0.0%)
AS12849 (1)       114688.0 (0.0%)
AS31122 (1)       114579.0 (0.0%)
AS199320 (1)      114324.0 (0.0%)
AS10143 (2)       114154.0 (0.0%)
AS4804 (1)        113161.0 (0.0%)
AS43274 (1)       113078.0 (0.0%)
AS59675 (1)       111390.0 (0.0%)
AS9534 (1)        110592.0 (0.0%)
AS25310 (1)       110156.0 (0.0%)
AS48654 (1)       109495.0 (0.0%)
AS28890 (1)       109341.0 (0.0%)
AS51219 (1)       107627.0 (0.0%)
AS262197 (1)      104934.0 (0.0%)
AS22561 (1)       102920.0 (0.0%)
AS37611 (1)       102911.0 (0.0%)
AS3329 (1)        102477.0 (0.0%)
AS9609 (1)        100938.0 (0.0%)
AS42145 (1)       99064.0 (0.0%)
AS34315 (1)       94208.0 (0.0%)
AS56510 (1)       94095.0 (0.0%)
AS24641 (1)       93611.0 (0.0%)
AS53292 (1)       93325.0 (0.0%)
AS12843 (1)       93184.0 (0.0%)
AS33824 (1)       92767.0 (0.0%)
AS49100 (1)       92160.0 (0.0%)
AS39741 (1)       91931.0 (0.0%)
AS16814 (1)       89162.0 (0.0%)
AS35761 (1)       89119.0 (0.0%)
AS2033 (1)        88199.0 (0.0%)
AS57041 (1)       87632.0 (0.0%)
AS17451 (1)       86533.0 (0.0%)
AS198385 (1)      86226.0 (0.0%)
AS19515 (1)       84992.0 (0.0%)
AS41557 (1)       83968.0 (0.0%)
AS12390 (1)       83395.0 (0.0%)
AS50212 (1)       82521.0 (0.0%)
AS43865 (1)       81920.0 (0.0%)
AS59610 (1)       81920.0 (0.0%)
AS8779 (1)        80652.0 (0.0%)
AS41789 (1)       80410.0 (0.0%)
AS3663 (1)        79577.0 (0.0%)
AS2518 (1)        77824.0 (0.0%)
AS15318 (1)       75439.0 (0.0%)
AS34296 (1)       71680.0 (0.0%)
AS48101 (1)       70658.0 (0.0%)
AS41272 (1)       69632.0 (0.0%)
AS31460 (1)       69257.0 (0.0%)
AS47323 (1)       66109.0 (0.0%)
AS41334 (1)       65536.0 (0.0%)
AS54934 (1)       65429.0 (0.0%)
AS7738 (1)        64512.0 (0.0%)
AS35239 (1)       63918.0 (0.0%)
AS25308 (1)       62464.0 (0.0%)
AS51074 (1)       62464.0 (0.0%)
AS28099 (1)       62454.0 (0.0%)
AS17974 (2)       62312.0 (0.0%)
AS198414 (1)      60596.0 (0.0%)
AS13101 (1)       59658.0 (0.0%)
AS10594 (1)       59392.0 (0.0%)
AS45595 (1)       58683.0 (0.0%)
AS8920 (1)        58368.0 (0.0%)
AS35728 (1)       57344.0 (0.0%)
AS6057 (1)        56933.0 (0.0%)
AS23243 (1)       56883.0 (0.0%)
AS7303 (1)        55905.0 (0.0%)
AS278 (1)         55747.0 (0.0%)
AS15377 (1)       55296.0 (0.0%)
AS1241 (1)        53179.0 (0.0%)
AS12880 (1)       47104.0 (0.0%)
AS9116 (1)        45588.0 (0.0%)
AS31133 (1)       44032.0 (0.0%)
AS12975 (1)       43008.0 (0.0%)
AS12355 (1)       40960.0 (0.0%)
AS58551 (1)       35928.0 (0.0%)
AS47395 (1)       25050.0 (0.0%)
AS44924 (1)       19586.0 (0.0%)
AS262691 (1)      0.0 (0.0%)
AS31252 (1)       0.0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <tdp@nycbug.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
