
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          BANDWIDTH
Livehosting Datacenter Srl (1)                           4899528.0 (0.0%)
Telecom Italia (8)                                       4893572.0 (0.0%)
Proximus NV (12)                                         4885517.0 (0.0%)
JSC RTComm.RU (2)                                        4868404.0 (0.0%)
Jump Networks Ltd (5)                                    4774640.0 (0.0%)
Peer 1 Network (USA) Inc. (5)                            4757310.0 (0.0%)
Vodafone Italia S.p.A. (6)                               4723709.0 (0.0%)
Associação Rede Nacional de Ensino e Pesquisa (6)      4683493.0 (0.0%)
Sky UK Limited (10)                                      4676678.0 (0.0%)
LLC KomTehCentr (2)                                      4658495.0 (0.0%)
C&S Breitband GmbH (1)                                   4622691.0 (0.0%)
MTS PJSC (5)                                             4620704.0 (0.0%)
Dgn Teknoloji A.s. (1)                                   4591933.0 (0.0%)
FOP Dolgiy Andriy Fedorovuch (2)                         4570187.0 (0.0%)
New Dream Network, LLC (2)                               4516291.0 (0.0%)
Stanford University (1)                                  4512688.0 (0.0%)
NedZone Internet BV (1)                                  4498312.0 (0.0%)
City Network Hosting AB (2)                              4486830.0 (0.0%)
Bell Canada (3)                                          4440586.0 (0.0%)
MnogoByte LLC (1)                                        4363264.0 (0.0%)
DA International Group Ltd. (1)                          4357601.0 (0.0%)
Cloudsigma Ag (3)                                        4333311.0 (0.0%)
Level 3 Communications, Inc. (4)                         4311496.0 (0.0%)
Elisa Oyj (5)                                            4301322.0 (0.0%)
NovaTrend Services GmbH (1)                              4232767.0 (0.0%)
Vectra S.A. (5)                                          4184378.0 (0.0%)
North State Telephone Co. (2)                            4184126.0 (0.0%)
G-Core Labs S.A. (1)                                     4125494.0 (0.0%)
Carnegie Mellon University (1)                           4125175.0 (0.0%)
Paxio Inc. (1)                                           4099275.0 (0.0%)
Iomart (4)                                               4067611.0 (0.0%)
RouteLabel V.O.F. (6)                                    4044766.0 (0.0%)
Quartz Telecom LLC (1)                                   4030809.0 (0.0%)
Saskatchewan Telecommunications (2)                      3984646.0 (0.0%)
SYNAPSECOM S.A. Provider of Telecommunications and (2)   3931988.0 (0.0%)
NetsurfUSA, Inc. (1)                                     3886475.0 (0.0%)
East Telecom Ltd. (1)                                    3875137.0 (0.0%)
Viettel Corporation (4)                                  3850858.0 (0.0%)
Argon Data Communication (2)                             3830265.0 (0.0%)
OOO NI (1)                                               3825725.0 (0.0%)
THC Projects SRL (3)                                     3815974.0 (0.0%)
Cooolbox AD (1)                                          3775785.0 (0.0%)
sol.net Network Services (2)                             3768135.0 (0.0%)
Genossenschaft GGA Maur (2)                              3750877.0 (0.0%)
Blix Solutions AS (1)                                    3749730.0 (0.0%)
VKontakte Ltd (1)                                        3734352.0 (0.0%)
Ukrainian Internet Names Center LTD (2)                  3722201.0 (0.0%)
AT&T Internet Services (2)                               3718333.0 (0.0%)
Partner Communications Ltd. (1)                          3713511.0 (0.0%)
Dynamic ASP Inc. (1)                                     3703747.0 (0.0%)
RCN (4)                                                  3680896.0 (0.0%)
Private Entrepreneur Liudmyla V. Murad (1)               3666917.0 (0.0%)
Longmont Power & Communications (3)                      3577016.0 (0.0%)
gsnet.cz s.r.o. (1)                                      3559473.0 (0.0%)
InterBS S.R.L. (BAEHOST) (7)                             3558963.0 (0.0%)
Novotelecom Ltd (3)                                      3527232.0 (0.0%)
Zen Internet Ltd (6)                                     3505640.0 (0.0%)
Verein zur Foerderung freier Netze (ZVR: 814804682 (1)   3469632.0 (0.0%)
Information Network, LLC (1)                             3466240.0 (0.0%)
Bell Aliant Regional Communications, Inc. (1)            3464797.0 (0.0%)
BRIGHT HOUSE NETWORKS, LLC (6)                           3449175.0 (0.0%)
EPB Fiber Optics (1)                                     3427539.0 (0.0%)
XenoSite B.V. (1)                                        3403550.0 (0.0%)
NET1 Ltd. (2)                                            3401093.0 (0.0%)
Shinjiru Technology Sdn Bhd (9)                          3398452.0 (0.0%)
Internetia Sp.z o.o. (1)                                 3367107.0 (0.0%)
TELEFÔNICA BRASIL S.A (8)                               3361379.0 (0.0%)
Perfect International, Inc (1)                           3352315.0 (0.0%)
ITC Electron Ltd (1)                                     3346690.0 (0.0%)
Ultracom Ltd. (2)                                        3313965.0 (0.0%)
Info Data Center Ltd. (1)                                3311944.0 (0.0%)
Connecta sp. z o.o. (1)                                  3309568.0 (0.0%)
OOO Sysmedia (1)                                         3304221.0 (0.0%)
Telecom.ru Ltd (1)                                       3283289.0 (0.0%)
Solcon Internetdiensten N.V. (2)                         3252424.0 (0.0%)
SIA Lattelecom (2)                                       3206962.0 (0.0%)
Lancom Ltd. (2)                                          3194408.0 (0.0%)
Digital Energy Technologies Limited (3)                  3187584.0 (0.0%)
CDLAN s.r.l. (1)                                         3139757.0 (0.0%)
Burlington Telecom (1)                                   3084503.0 (0.0%)
Vega-Service, LLC (1)                                    3054806.0 (0.0%)
National Computer Systems Co Ltd (2)                     3052820.0 (0.0%)
SIA Baltcom (1)                                          3035214.0 (0.0%)
LyonLabs, LLC (1)                                        3032943.0 (0.0%)
CentroNet a.s. (1)                                       3030928.0 (0.0%)
Nevod Ltd (1)                                            3028235.0 (0.0%)
SITEL Sp z o. o. (1)                                     3018913.0 (0.0%)
Corbina Telecom LLC (1)                                  3017783.0 (0.0%)
Ticinocom SA (1)                                         3017728.0 (0.0%)
Horyzont Technologie Internetowe sp.z.o.o. (1)           2969918.0 (0.0%)
CyrusOne LLC (1)                                         2956081.0 (0.0%)
Equinix Asia Pacific (5)                                 2934774.0 (0.0%)
ITnet S.r.l. (1)                                         2923197.0 (0.0%)
EWE-Tel GmbH (4)                                         2912600.0 (0.0%)
Vladivostokskaya Set LTD (1)                             2912011.0 (0.0%)
DataWagon LLC (1)                                        2908377.0 (0.0%)
First Telecommunication Center LLC (1)                   2891885.0 (0.0%)
Penkiu kontinentu komunikaciju centras, Ltd. (1)         2854227.0 (0.0%)
Chaos Computer Club e.V. (1)                             2834634.0 (0.0%)
DataCorpore Serviços e Representações (1)             2797159.0 (0.0%)
Orange Moldova S.A. (1)                                  2794769.0 (0.0%)
SatTel Corporation, Ltd. (2)                             2789777.0 (0.0%)
Highwinds Network Group, Inc. (1)                        2771159.0 (0.0%)
Sangmyung University (1)                                 2763776.0 (0.0%)
Brezhnev D.S. PE (1)                                     2758889.0 (0.0%)
Telenet SIA (1)                                          2740571.0 (0.0%)
University of Washington (1)                             2733450.0 (0.0%)
NTE Bredband AS (1)                                      2728549.0 (0.0%)
OU Web Hosting Solutions (2)                             2713845.0 (0.0%)
CASCADELINK INC (1)                                      2694504.0 (0.0%)
Optima Telecom Ltd. (3)                                  2691772.0 (0.0%)
Arachnitec, INC. (1)                                     2685691.0 (0.0%)
Lanet Network Ltd (3)                                    2676413.0 (0.0%)
Informacines sistemos ir technologijos, UAB (2)          2660068.0 (0.0%)
Closed Joint Stock Company TransTeleCom (1)              2637078.0 (0.0%)
Bradler & Krantz GmbH & Co. KG (4)                       2627334.0 (0.0%)
HETNiX SRL (2)                                           2617813.0 (0.0%)
ecotel communication ag (4)                              2617122.0 (0.0%)
LLC Murmansk Multiservice Networks (1)                   2612224.0 (0.0%)
Stiftelsen Chalmers Studenthem (1)                       2611211.0 (0.0%)
Sharktech (1)                                            2605203.0 (0.0%)
Net-style Atarim Ltd (2)                                 2600738.0 (0.0%)
HopOne Internet Corporation (2)                          2588945.0 (0.0%)
State Educational Institution of higher profession (1)   2581821.0 (0.0%)
Arvig Enterprises Inc. (1)                               2575392.0 (0.0%)
Wi-Manx Limited (1)                                      2568268.0 (0.0%)
Elenkom LLC (1)                                          2559444.0 (0.0%)
BEST-NET s.r.o. (1)                                      2543171.0 (0.0%)
Free Software Foundation, Inc. (1)                       2540682.0 (0.0%)
Tiera Centr Ltd (1)                                      2538136.0 (0.0%)
ALDIS Telecom Ltd (2)                                    2536275.0 (0.0%)
Wowrack.com (3)                                          2533911.0 (0.0%)
NTT PC Communications, Inc. (7)                          2532480.0 (0.0%)
DARZ GmbH (2)                                            2529404.0 (0.0%)
EBOX (3)                                                 2519624.0 (0.0%)
JSC BIG Telecom Ural (1)                                 2516510.0 (0.0%)
IT Expert LLC (2)                                        2511930.0 (0.0%)
BrainStorm Network, Inc (2)                              2503136.0 (0.0%)
Limited Company Svyazservice (1)                         2503121.0 (0.0%)
meerfarbig GmbH & Co. KG (1)                             2501774.0 (0.0%)
ServeTheWorld AS (1)                                     2485670.0 (0.0%)
IP-Max SA (1)                                            2459584.0 (0.0%)
Maginfo JSC (1)                                          2457599.0 (0.0%)
Lightspeed Communications, LLC (1)                       2453390.0 (0.0%)
European Backbone Networks Inc. (1)                      2436694.0 (0.0%)
Tiscali UK Limited (4)                                   2434015.0 (0.0%)
JSC Digital Network (2)                                  2433045.0 (0.0%)
TheNebulaCloud, Inc. (1)                                 2413952.0 (0.0%)
DCS Pacific Star, LLC (1)                                2390627.0 (0.0%)
Unwired (2)                                              2373709.0 (0.0%)
SiteHost New Zealand (2)                                 2366757.0 (0.0%)
R-KOM Regensburger Telekommunikationsgesellschaft  (1)   2356216.0 (0.0%)
Nos Comunicacoes, S.A. (3)                               2343750.0 (0.0%)
Ivstar Ltd (1)                                           2343545.0 (0.0%)
Krasnoyarsklespromproekt OJSC (1)                        2333210.0 (0.0%)
Kyivstar PJSC (2)                                        2333042.0 (0.0%)
Hutchison Global Communications (3)                      2326760.0 (0.0%)
BiConsult Eood (1)                                       2322682.0 (0.0%)
Uteam LTD (1)                                            2298465.0 (0.0%)
Kom lan Ltd (1)                                          2294120.0 (0.0%)
Aalto University Student Union (2)                       2280973.0 (0.0%)
Interhost Communication Solutions Ltd. (1)               2256323.0 (0.0%)
LLC TOMTEL (1)                                           2251487.0 (0.0%)
Rackspace Ltd. (3)                                       2240008.0 (0.0%)
Axtel, S.A.B. de C.V. (2)                                2235392.0 (0.0%)
CDM (1)                                                  2218025.0 (0.0%)
Beanfield Technologies Inc. (1)                          2207415.0 (0.0%)
D2 International Investment Ukraine Ltd. (2)             2206297.0 (0.0%)
Next point Host EOOD. (1)                                2194663.0 (0.0%)
1984 ehf (4)                                             2160274.0 (0.0%)
California Institute of Technology (1)                   2155014.0 (0.0%)
Sc Ad Net Market Media Srl (1)                           2145166.0 (0.0%)
Iteranet LLC (3)                                         2139316.0 (0.0%)
GENERAL COMMUNICATION, INC. (2)                          2137832.0 (0.0%)
iTeract inc. (1)                                         2123360.0 (0.0%)
Consortium GARR (3)                                      2060935.0 (0.0%)
Rogers Cable Communications Inc. (1)                     2046171.0 (0.0%)
Orange Espagne SA (6)                                    2032921.0 (0.0%)
A1 Telekom Austria AG (5)                                2027717.0 (0.0%)
University of Pennsylvania (1)                           2024995.0 (0.0%)
AAPT Limited (2)                                         1979901.0 (0.0%)
EATEL (1)                                                1978675.0 (0.0%)
Allnet Telecom Srl (1)                                   1976367.0 (0.0%)
Tele Columbus AG (5)                                     1970744.0 (0.0%)
kabelplus GmbH (2)                                       1967788.0 (0.0%)
University of Kansas (1)                                 1956859.0 (0.0%)
GorillaServers, Inc. (2)                                 1945614.0 (0.0%)
SMART Comp. a.s. (1)                                     1915605.0 (0.0%)
Spark New Zealand Trading Ltd. (5)                       1900073.0 (0.0%)
Cloudlayer8 Limited (1)                                  1895220.0 (0.0%)
Nexeon Technologies, Inc. (3)                            1888114.0 (0.0%)
ESDS Software Solution Pvt. Ltd. (1)                     1867250.0 (0.0%)
MYREPUBLIC LIMITED (2)                                   1862031.0 (0.0%)
Alibaba (China) Technology Co., Ltd. (7)                 1860978.0 (0.0%)
VNET a.s. (2)                                            1859939.0 (0.0%)
AxcelX Technologies LLC (1)                              1847378.0 (0.0%)
Internode Pty Ltd (9)                                    1839004.0 (0.0%)
SK Broadband Co Ltd (2)                                  1833570.0 (0.0%)
Procono S.A. (1)                                         1825792.0 (0.0%)
Fork Networking, LLC (1)                                 1814357.0 (0.0%)
Contell LLC (1)                                          1809408.0 (0.0%)
CoreSpace, Inc. (1)                                      1797383.0 (0.0%)
NTT Communications Corporation (8)                       1789729.0 (0.0%)
Carolina Internet, Ltd. (1)                              1750313.0 (0.0%)
TPG Telecom Limited (8)                                  1747957.0 (0.0%)
Australian Academic and Reasearch Network (AARNet) (2)   1714867.0 (0.0%)
TDS TELECOM (2)                                          1687476.0 (0.0%)
CMB (1)                                                  1676862.0 (0.0%)
CallPlus Services Limited (4)                            1668462.0 (0.0%)
Nianet A/S (2)                                           1663478.0 (0.0%)
Taiwan Academic Network (TANet) Information Center (2)   1662712.0 (0.0%)
TalkTalk (6)                                             1624568.0 (0.0%)
NetStack-AS (1)                                          1623656.0 (0.0%)
Audeo, Inc (1)                                           1621342.0 (0.0%)
Private Enterprise Mageal (2)                            1620992.0 (0.0%)
Artfiles New Media GmbH (1)                              1567947.0 (0.0%)
TIME dotCom Berhad (1)                                   1565786.0 (0.0%)
Telia Eesti AS (1)                                       1558198.0 (0.0%)
Atlantic.net, Inc. (1)                                   1546309.0 (0.0%)
WEST CALL SPb LLC (2)                                    1540660.0 (0.0%)
TELUS Communications Inc. (4)                            1531452.0 (0.0%)
Vivint Wireless, Inc. (1)                                1518126.0 (0.0%)
Domain names registrar REG.RU, Ltd (2)                   1511145.0 (0.0%)
UCOM Corp. (1)                                           1509573.0 (0.0%)
Pallada Web Service LLC (2)                              1494136.0 (0.0%)
IP TELECOM GLOBAL NETWORKS (2)                           1480351.0 (0.0%)
SateliX s.r.o. (1)                                       1476688.0 (0.0%)
TeNeT Scientific Production Enterprise LLC (2)           1464451.0 (0.0%)
Mike Kaldig (1)                                          1453245.0 (0.0%)
TOV Global-NET (1)                                       1450133.0 (0.0%)
[netzquadrat] GmbH (1)                                   1443136.0 (0.0%)
Wind Telecomunicazioni SpA (5)                           1438714.0 (0.0%)
Novus Entertainment Inc. (2)                             1428737.0 (0.0%)
Gigaclear PLC (1)                                        1425750.0 (0.0%)
CJSC Ural WES (2)                                        1379919.0 (0.0%)
Euskaltel S.A. (2)                                       1370765.0 (0.0%)
rh-tec Business GmbH (5)                                 1370083.0 (0.0%)
OOO National Telecommunications (1)                      1346009.0 (0.0%)
EE Limited (3)                                           1344515.0 (0.0%)
Artnet Spolka z ograniczona odpowiedzialnoscia (1)       1320432.0 (0.0%)
Science Production Company Trifle Ltd. (1)               1315920.0 (0.0%)
Vodafone Portugal - Communicacoes Pessoais S.A. (2)      1314975.0 (0.0%)
Shine Servers Llp (1)                                    1304458.0 (0.0%)
Omnis Network, LLC (1)                                   1303916.0 (0.0%)
It_services (1)                                          1293503.0 (0.0%)
Omnilance Ltd (1)                                        1293318.0 (0.0%)
Gamma Telecom Holdings Ltd (1)                           1292800.0 (0.0%)
Tieteen tietotekniikan keskus Oy (1)                     1292158.0 (0.0%)
WIBO International s.r.o. (1)                            1291852.0 (0.0%)
RETN Limited (1)                                         1289486.0 (0.0%)
AVK-Wellcom Ltd. (1)                                     1288878.0 (0.0%)
Vivacom (2)                                              1268968.0 (0.0%)
Leitwerk Ag (1)                                          1266688.0 (0.0%)
MegaStyle-Service (1)                                    1265664.0 (0.0%)
Sibinet, Ltd. (1)                                        1259851.0 (0.0%)
sdt.net AG (1)                                           1259286.0 (0.0%)
WebJanssen ISP ltd & Co KG (1)                           1257547.0 (0.0%)
media:Webline AG (1)                                     1256474.0 (0.0%)
Klimenko Anna.Aleksandrovna PE (1)                       1256448.0 (0.0%)
Orange Romania S.A. (1)                                  1252006.0 (0.0%)
SupraNet Communications, Inc. (1)                        1250782.0 (0.0%)
Yahoo Japan Corporation (1)                              1248889.0 (0.0%)
Occino GmbH (1)                                          1248802.0 (0.0%)
Grupo Panaglobal 15 S.A (1)                              1248005.0 (0.0%)
Iskratelecom CJSC (1)                                    1246208.0 (0.0%)
UNIVERSIDADE ESTADUAL DE CAMPINAS (2)                    1244785.0 (0.0%)
ServeNET Solution Limited Partnership (1)                1239540.0 (0.0%)
mhs internet AG (1)                                      1232825.0 (0.0%)
Tele 2 Nederland B.V. (2)                                1230897.0 (0.0%)
P.a.k.t LLC (1)                                          1229714.0 (0.0%)
SingleHop, Inc. (1)                                      1228078.0 (0.0%)
Pp Sks-lugan (1)                                         1227659.0 (0.0%)
GMO-Z.COM PTE. LTD. (2)                                  1224515.0 (0.0%)
Vakka-Suomen Puhelin Oy (1)                              1224335.0 (0.0%)
Hostway Services, Inc. (1)                               1222951.0 (0.0%)
Starman AS (1)                                           1221499.0 (0.0%)
OTEnet S.A. (3)                                          1220572.0 (0.0%)
JSC AIST (2)                                             1219437.0 (0.0%)
HETZNER (1)                                              1214422.0 (0.0%)
MKS Telecom LLC (2)                                      1213440.0 (0.0%)
Primus Telecommunications Canada Inc. (1)                1213385.0 (0.0%)
Brownrice Internet, Inc. (1)                             1203587.0 (0.0%)
Trustica s.r.o. (2)                                      1198394.0 (0.0%)
ViaWest (1)                                              1197297.0 (0.0%)
NIIFI (Nemzeti Informacios Infrastruktura Fejleszt (1)   1194799.0 (0.0%)
Radio Muzyka Fakty Sp. z o.o. (1)                        1194101.0 (0.0%)
Republican Unitary Telecommunication Enterprise Be (1)   1191762.0 (0.0%)
Racknation S.A. (1)                                      1191086.0 (0.0%)
TOV Lekol (1)                                            1190166.0 (0.0%)
Wharf T&T Ltd. (1)                                       1186707.0 (0.0%)
combahton IT Services (1)                                1181696.0 (0.0%)
Euronet Communications B.V. (1)                          1176027.0 (0.0%)
Start Communications (1)                                 1174974.0 (0.0%)
SIA Digitalas Ekonomikas Attistibas Centrs (1)           1174682.0 (0.0%)
Digit One LLC (1)                                        1174474.0 (0.0%)
CPS (1)                                                  1164388.0 (0.0%)
Technische Universiteit Eindhoven (TU/e) (1)             1154900.0 (0.0%)
Telekomunikacja Podlasie Sp. z o.o. (1)                  1144987.0 (0.0%)
CoreSite (1)                                             1142919.0 (0.0%)
CloudVPS B.V. (3)                                        1141706.0 (0.0%)
ZNET Telekom Zrt. (1)                                    1135085.0 (0.0%)
Applied Operations, LLC (1)                              1128057.0 (0.0%)
Hong Kong Broadband Network Ltd. (1)                     1124533.0 (0.0%)
Kabelfernsehen Muenchen ServiCenter GmbH & Co.KG (4)     1121860.0 (0.0%)
MM ONE Group Srl (1)                                     1114859.0 (0.0%)
Rethem Hosting LLC (1)                                   1099776.0 (0.0%)
JSC Garant-Siberia (1)                                   1096892.0 (0.0%)
Redcom-Internet Inc. (1)                                 1087829.0 (0.0%)
Cjsc credo-telecom (1)                                   1082368.0 (0.0%)
Heinlein-Support GmbH (1)                                1078834.0 (0.0%)
Internet Initiative Japan Inc. (1)                       1071167.0 (0.0%)
NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC (2)       1064844.0 (0.0%)
Exa Bytes Network Sdn.Bhd. (1)                           1054185.0 (0.0%)
Hosting.de GmbH (1)                                      1044115.0 (0.0%)
Servicos De Comunicacoes E Multimedia S.A. (2)           1041480.0 (0.0%)
Net Onboard Sdn Bhd - Quality & Reliable Cloud Hos (1)   1022235.0 (0.0%)
Clouvider Limited (1)                                    1021090.0 (0.0%)
Technische Universitat Wien (1)                          1006516.0 (0.0%)
Spark Ventures (2)                                       1000053.0 (0.0%)
Cascade Networks Incorporated (2)                        998110.0 (0.0%)
iiNet Limited (2)                                        992392.0 (0.0%)
VTR BANDA ANCHA S.A. (1)                                 985626.0 (0.0%)
Datapark AG (1)                                          969793.0 (0.0%)
FIBIA P/S (2)                                            946673.0 (0.0%)
VirtualComplete, LLC (1)                                 945693.0 (0.0%)
Arcade Solutions AG (1)                                  944678.0 (0.0%)
Bowdoin College (1)                                      944526.0 (0.0%)
Virtono Networks SRL (1)                                 940617.0 (0.0%)
PJSC Bashinformsvyaz (1)                                 925489.0 (0.0%)
CLARO S.A. (5)                                           923812.0 (0.0%)
Mythic Beasts Ltd (1)                                    922074.0 (0.0%)
Telekom Slovenije d.d. (1)                               921001.0 (0.0%)
SWITCH, LTD (2)                                          917819.0 (0.0%)
KrasLink, Ltd. (1)                                       913987.0 (0.0%)
TIS Dialog LLC (1)                                       908922.0 (0.0%)
ServerSpace Limited (2)                                  908599.0 (0.0%)
PODA a.s. (1)                                            908540.0 (0.0%)
HostMySite (1)                                           903137.0 (0.0%)
453 Ladplacout Jorakhaebua (1)                           899922.0 (0.0%)
Netia SA (3)                                             894370.0 (0.0%)
Hutchison Drei Austria GmbH (2)                          881538.0 (0.0%)
Sigterm Mikal Villa (2)                                  865411.0 (0.0%)
Connexions4London Ltd (4)                                837853.0 (0.0%)
CITYNET (2)                                              831519.0 (0.0%)
Codero (2)                                               814151.0 (0.0%)
TOKAI Communications Corporation (1)                     805771.0 (0.0%)
UAB Rakrejus (3)                                         805246.0 (0.0%)
SkipLink, LLC (2)                                        788230.0 (0.0%)
Filanco, ltd. (2)                                        774728.0 (0.0%)
Nimbus2 Pty Ltd T/A ServerMule (1)                       769178.0 (0.0%)
E-Light-Telecom (1)                                      768346.0 (0.0%)
Worcester Polytechnic Institute (1)                      768000.0 (0.0%)
Andrews & Arnold Ltd (1)                                 766768.0 (0.0%)
VSHosting s.r.o. (1)                                     762486.0 (0.0%)
Jisc Services Limited (1)                                760622.0 (0.0%)
TAZ Verlags- und Vertriebs GmbH (2)                      759124.0 (0.0%)
Cloudie Limited (1)                                      756736.0 (0.0%)
CMC Telecom Infrastructure Company (1)                   756475.0 (0.0%)
MobileOne Ltd. Mobile/Internet Service Provider Si (1)   756241.0 (0.0%)
ARDH GLOBAL INDONESIA, PT (1)                            753701.0 (0.0%)
MyRepublic Ltd. (1)                                      744565.0 (0.0%)
Bollnas energi AB (1)                                    739328.0 (0.0%)
Telecable de Asturias,SA (1)                             738424.0 (0.0%)
Buzinessware FZCO (1)                                    738256.0 (0.0%)
Association GRIFON (1)                                   737841.0 (0.0%)
Stiftelsen Goteborgs Studentbostader (1)                 736397.0 (0.0%)
Xirra GmbH (1)                                           736256.0 (0.0%)
IP-Converge Data Center, Inc. (1)                        729730.0 (0.0%)
New Wave Communications (1)                              727082.0 (0.0%)
Xtra Telecom S.A. (2)                                    714810.0 (0.0%)
R Cable y Telecomunicaciones Galicia, S.A. (1)           713719.0 (0.0%)
SkyMesh Pty Ltd (2)                                      713032.0 (0.0%)
Innsbrucker Kommunalbetriebe AG (1)                      712025.0 (0.0%)
Amanah Tech Inc. (2)                                     711930.0 (0.0%)
Dial Telecom, a.s. (2)                                   709481.0 (0.0%)
Brutele SC (1)                                           708906.0 (0.0%)
Speedbone Internet & Connectivity GmbH (2)               698122.0 (0.0%)
Filoo GmbH (1)                                           697058.0 (0.0%)
Orange Slovensko a.s. (1)                                695296.0 (0.0%)
Asahi Net (1)                                            673272.0 (0.0%)
Wholesale Services Provider (1)                          666362.0 (0.0%)
komro GmbH (1)                                           662489.0 (0.0%)
RackBank Datacenters Private Ltd (1)                     662207.0 (0.0%)
eSecureData (1)                                          657528.0 (0.0%)
Digital Pacific Pty Ltd Australia (1)                    653440.0 (0.0%)
Ucom LLC (1)                                             650695.0 (0.0%)
Sun Network (Hong Kong) Limited - HongKong Backbon (1)   645120.0 (0.0%)
eTOP sp. z o.o. (1)                                      640650.0 (0.0%)
MYREPUBLIC PTY LTD (1)                                   637987.0 (0.0%)
Host Virtual, Inc (1)                                    634591.0 (0.0%)
Suomi Communications Oy (1)                              627706.0 (0.0%)
AS250.net Foundation (1)                                 627197.0 (0.0%)
Brightbox Systems Ltd (1)                                626100.0 (0.0%)
Regional Information Technologies Ltd. (1)               624061.0 (0.0%)
Utelisys Communications B.V. (1)                         616942.0 (0.0%)
Zelenaya Tochka Belgorod LLC (1)                         614764.0 (0.0%)
Freenet Ltd. (1)                                         614593.0 (0.0%)
Weacom Ltd (1)                                           612563.0 (0.0%)
Telecommunication Company Vinteleport Ltd. (1)           606208.0 (0.0%)
Centro Educacional Nossa Senhora Auxiliadora (1)         589423.0 (0.0%)
easystores GmbH (1)                                      588850.0 (0.0%)
Manx Telecom (1)                                         588693.0 (0.0%)
Digital Energy Technologies Chile SpA (1)                577155.0 (0.0%)
TESATEL, s.r.o. (1)                                      576237.0 (0.0%)
Loveservers LTD (2)                                      574950.0 (0.0%)
Cableworld Sl (1)                                        574570.0 (0.0%)
Hrvatski Telekom d.d. (1)                                573829.0 (0.0%)
NetCom BW GmbH (1)                                       565390.0 (0.0%)
3S S.A. (1)                                              562176.0 (0.0%)
PrimaCom Berlin GmbH (3)                                 556857.0 (0.0%)
QSC AG (5)                                               543097.0 (0.0%)
IT-Lauget Parknet (2)                                    541630.0 (0.0%)
ABC Domain LLC (1)                                       531115.0 (0.0%)
Telstra Pty Ltd (5)                                      527726.0 (0.0%)
Nessus GmbH (2)                                          521912.0 (0.0%)
HostSlim BV (2)                                          515737.0 (0.0%)
RendszerNET Kft. (1)                                     510510.0 (0.0%)
uvensys GmbH (4)                                         506941.0 (0.0%)
iWeb Technologies Inc. (1)                               506407.0 (0.0%)
CMC Telecommunications Services Company (1)              506211.0 (0.0%)
InSPire Net Ltd (1)                                      505819.0 (0.0%)
PJSC Ukrtelecom (3)                                      504929.0 (0.0%)
ISPHONE, INC. (1)                                        502590.0 (0.0%)
Inter.Net Germany (1)                                    494020.0 (0.0%)
ORKA systems, s.r.o. (1)                                 489663.0 (0.0%)
Colo4, LLC (2)                                           486857.0 (0.0%)
Spirit Telecom (Australia) Pty Ltd (1)                   483348.0 (0.0%)
FUJITSU LIMITED (1)                                      481722.0 (0.0%)
FreeBit Co.,Ltd. (2)                                     480825.0 (0.0%)
Bredbaand Nord A/S (1)                                   475955.0 (0.0%)
ISKON INTERNET d.d. za informatiku i telekomunikac (1)   475353.0 (0.0%)
LG DACOM Corporation (1)                                 472115.0 (0.0%)
LIWEST Kabelfernsehen Errichtungs- und Betriebs Ge (3)   470417.0 (0.0%)
York University (1)                                      460803.0 (0.0%)
Spoldzielnia Telekomunikacyjna OST (1)                   455148.0 (0.0%)
VIPnet d.o.o. (1)                                        448496.0 (0.0%)
Ic-voronezh (1)                                          445033.0 (0.0%)
Blizoo Media and Broadband (1)                           443747.0 (0.0%)
PT. Raja Sepadan Abadi (1)                               441344.0 (0.0%)
Metronet telekomunikacije d.d. (1)                       436190.0 (0.0%)
Civil associaton Init Lab (1)                            424457.0 (0.0%)
Hawaiian Telcom Services Company, Inc. (1)               422912.0 (0.0%)
Panamaserver.com (3)                                     406563.0 (0.0%)
TekTonic (1)                                             403391.0 (0.0%)
SychrovNET s.r.o (1)                                     397041.0 (0.0%)
JM-Net, z.s. (1)                                         389625.0 (0.0%)
SWAN, a.s. (1)                                           375972.0 (0.0%)
noris network AG (2)                                     374763.0 (0.0%)
skHosting.eu s.r.o. (1)                                  373139.0 (0.0%)
Consolidated Communications, Inc. (1)                    368640.0 (0.0%)
VELTON.TELECOM Ltd (1)                                   364649.0 (0.0%)
Infobunker, L.L.C. (2)                                   357845.0 (0.0%)
Omsoft Technologies (1)                                  355777.0 (0.0%)
Multimedia Polska S.A. (2)                               355369.0 (0.0%)
Airstream Communications, LLC (2)                        342072.0 (0.0%)
Long Lines Internet (1)                                  336632.0 (0.0%)
Web24 Virtual & Dedicated hosting service provider (1)   334793.0 (0.0%)
SAREnet, S.A. (1)                                        331987.0 (0.0%)
Nebula Oy (2)                                            330507.0 (0.0%)
TELTA Citynetz GmbH (1)                                  321111.0 (0.0%)
ENTEL CHILE S.A. (1)                                     319488.0 (0.0%)
Telia Stofa A/S (3)                                      318996.0 (0.0%)
e-Net, s.r.o. (1)                                        314440.0 (0.0%)
TBS Strom AG (1)                                         314368.0 (0.0%)
University of Maryland (2)                               314097.0 (0.0%)
